created_at,polarity,subjectivity
2020-04-21,0.0639796699633744,0.35911016246101407
2020-04-22,0.062707281430702,0.3375464038276537
2020-04-23,0.04432323737974197,0.3386064538195782
2020-04-24,0.07522458048985728,0.36537297029288685
2020-04-25,0.05573178109630069,0.3378838835158454
2020-04-26,0.051075940097368676,0.3486972070811355
2020-04-27,0.049683359468660176,0.31225679402377554
2020-04-28,0.0633340230477123,0.32768234064705376
2020-04-29,0.06332967569090679,0.33674862363311975
2020-04-30,0.06581130139747621,0.32981236896779453
2020-05-01,0.07246812219141942,0.32858675093969203
