created_at,polarity,subjectivity
2020-03-21,0.024540315181343104,0.3232559087448953
2020-03-22,0.0360474363407189,0.34918632590221976
2020-03-23,0.02071802608867507,0.33800846835328396
2020-03-24,0.02980141007809833,0.30523347341986495
2020-03-25,0.04536504052147774,0.3180818116147233
2020-03-26,0.0648348970740405,0.3012209071487321
2020-03-27,0.04124349344225278,0.32442700552022463
2020-03-28,0.07130503674188997,0.35214427489042177
2020-03-29,0.10646953502048942,0.3556580070460918
2020-03-30,0.0578293442889031,0.33304573783617875
2020-03-31,0.06244277048546118,0.33714514602272716
2020-04-01,0.01544750291762242,0.30210659526396566
