coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Apr 22 15:47:23 +0000 2020,,,,0,1252987370225438722,,,,en,,,261,1252977864351383553,samstein,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @samstein: An upscale luxury hotel chain has filed for 48 separate small business loans from the coronavirus related PPP fund, @sambrode…",https://twitter.com/tornbetween/status/1252987370225438722,Fri Apr 03 21:23:40 +0000 2009,tornbetween,false,"Looking for good, spreading some kindness, promoting education, truth, inclusiveness, understanding, dialogue, and acceptance. Find a solution. 🇨🇦☮️🇺🇸",85214,805,1277,0,"Florida, USA",Get the SENATE,tornbetween,36837,,,false
,Wed Apr 22 09:53:09 +0000 2020,,,,0,1252898224748269575,,,,en,,,5838,1252870881782558720,AldrinSampear,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AldrinSampear: PLEASE DON'T STEAL COVID MONEY
PLEASE DON'T STEAL COVID MONEY
PLEASE DON'T STEAL COVID MONEY
PLEASE DON'T STEAL COVID MO…",https://twitter.com/mpho_lindi/status/1252898224748269575,Wed Jan 29 08:49:49 +0000 2014,mpho_lindi,false,"Oemetswe's mother|God fearing|Virgo|Dream chaser|Bonanglover|








I DARE YOU TO BELIEVE IN YOURSELF!",47311,3588,3507,1,Johannesburg ,LindiweM,mpho_lindi,23198,,,false
,Wed Apr 22 07:16:58 +0000 2020,Burgami,,,0,1252858923410808832,,,,en,,,3,1252858459415957508,VisionFMNigeria,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @VisionFMNigeria: Join us now on #Burgami as @sirjay_1 on the Topic: What is the implication of killings by security personnel in the en…,https://twitter.com/omilehaodey/status/1252858923410808832,Thu Feb 18 10:00:17 +0000 2016,omilehaodey,false,"VisionFM 
||Multimedia Personality||Events Planner|Child Advocate||FashionDesigner||One Story at a Time||




Connect: Instagram /Facebook - Omileha Odey",9887,1033,892,0,Africa,Omileha,omilehaodey,3904,,,false
,Thu Apr 23 01:48:04 +0000 2020,,,,0,1253138538100645891,,,,en,,,19,1253133953076129792,DonAustin_SUP,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DonAustin_PAUSD: Kids aren't raising their hands for more stress and less support during crisis closures. Let's see how we can lower st…,https://twitter.com/drgoffney/status/1253138538100645891,Sun Aug 07 13:12:35 +0000 2011,drgoffney,false,"Texas Superintendent of the Year 2018 | @AldineISD Superintendent - Serving 67,000 Students | Literacy Evangelist | Speaker | #PastorsWife | Mom | #AKA1908 |",22512,13148,4972,166,"Aldine, TX",Dr. LaTonya M. Goffney,drgoffney,22133,,http://drgoffney.wordpress.com,false
,Wed Apr 22 21:42:45 +0000 2020,,,,1,1253076801758339079,HopeJMichael,1253074951222857700,2269629216,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@HopeJMichael @realDonaldTrump Trump’s  lead lie tonight is going to be that the CDC director warned that the coronavirus outbreak could be ‘even more difficult’ next winter was a big fat lie by the fake news.,https://twitter.com/adriennerourke/status/1253076801758339079,Thu Sep 29 12:19:49 +0000 2011,adriennerourke,false,"Retired from Wall Street. Live in NYC and the Catskills Mountains. Love cooking, gardening, reading, traveling, NY Mets, NY Giants, NY Rangers Vote Blue",80052,1389,1231,4,NYC/Catskills Mountain ,adrienne,adriennerourke,18251,,,false
,Wed Apr 22 22:55:14 +0000 2020,,,,0,1253095042484367360,,,,en,,,547,1253079156621037578,thehill,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @thehill: NEW: California governor orders autopsies back to December to find out how long coronavirus has been in the state https://t.co…,https://twitter.com/JayEmme00/status/1253095042484367360,Thu Mar 23 15:35:11 +0000 2017,JayEmme00,false,Trump is a Never-Imagined Obstacle To The Elegance Of Our ForeFathers’ Design. #Resist #Homeless #PRU #BLM,27569,12217,13160,3,TBD,Jay Emme,JayEmme00,43837,,,false
,Wed Apr 22 22:14:16 +0000 2020,,,,0,1253084734948888580,,,,en,,,70,1253012652256681984,KathyMerry2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @KathyMerry2: @Acyn CNN quoted Redfield in WaPo: “There’s a possibility that the assault of the virus on our nation next winter will act…,https://twitter.com/Jlucasnj/status/1253084734948888580,Sat Mar 17 14:04:47 +0000 2012,Jlucasnj,false,"Resisting the GOP/Russian mob, Constitution admirer, former engineer, music lover, F1 & soccer fan, Feminist, husband, father, trying to get to fine. 😀",21207,623,322,5,"New Jersey, USA",Jim Lucas,Jlucasnj,242120,,,false
,Wed Apr 22 23:03:35 +0000 2020,,,,0,1253097143222452224,,,,en,,,1,1253093526751064066,OlgaStachova,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @OlgaStachova: Despite the special COVID-19 immigration and travel measures Canada has implemented, the country continues its commitment…",https://twitter.com/suzannelabanane/status/1253097143222452224,Sat Apr 06 21:38:28 +0000 2013,suzannelabanane,false,"Assistant Professor at UBC. Research interests: Immigration, Occupational Science, Francophone minority communities. Views expressed are my own",3996,454,232,12,"Vancouver, British Columbia",Suzanne Huot,suzannelabanane,2647,,,false
,Wed Apr 22 07:09:37 +0000 2020,,,https://www.latimes.com/california/story/2020-04-21/coronavirus-outbreak-at-orange-county-nursing-home-kills-two-patients-sickens-72,0,1252857073450156036,,,,en,,false,10,1252829490239029251,LANow,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LANow: Coronavirus outbreak at Orange County nursing home kills two patients, sickens 72 https://t.co/F82tBvLXQB",https://twitter.com/PSheppardTV/status/1252857073450156036,Wed Mar 04 03:55:45 +0000 2009,PSheppardTV,false,The Specialist (C) TX0008044160 #Army #Vet #Survivor #DonovanKnight  #Autodidact #DigitalActivist #TheLegendOfThingsPast  #AManAboutTown All Rights Reserved,101648,15346,3178,353,WorldWide 80Million StealthRUs,Phillip Sheppard,PSheppardTV,96920,,http://a.co/eciq53W,true
,Wed Apr 22 18:22:45 +0000 2020,,,,0,1253026472723386371,,,,en,,,50,1252899999236710400,brexit_sham,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @brexit_sham: @IanDunt 27 March 2020: Brussels rubbishes UK govt claim

'No 10 initially said it did not join efforts because the UK was…",https://twitter.com/Ned_Shannon3/status/1253026472723386371,Mon Jan 30 21:46:58 +0000 2017,Ned_Shannon3,false,,498,37,98,0,"Liverpool, England",Ned Shannon,Ned_Shannon3,557,,,false
