coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Apr 24 18:03:31 +0000 2020,COVID19,,,0,1253746407388971009,,,,en,,,74,1248643409289641992,rontkim,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @rontkim: We must scale-up testing ASAP for #COVID19 and antibody testing. 

We must track &amp; certify for immunity while protecting peopl…",https://twitter.com/NatalieMae31/status/1253746407388971009,Thu Mar 31 19:22:33 +0000 2016,NatalieMae31,false,Will fight for someone else. M4A GND UBI Climate911 Jacobite's for liberty & justice ~ whit's fur ye'll no go by ye #AndWeSay #NeverAgain MyNotificationsRoff,48804,4008,4959,58,North-East ENT,🚩🏴Natalie 🌻🌹🦺🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇪🇺🇦,NatalieMae31,78121,,,false
,Fri Apr 24 20:24:15 +0000 2020,COVID19,,,0,1253781821571170306,,,,en,,,54,1253768324758016000,ANI,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ANI: One All India Institute Of Medical Sciences-Raipur nursing officer has tested positive for #COVID19. He was posted in COVID Ward a…,https://twitter.com/javirnitin1/status/1253781821571170306,Fri Aug 26 13:12:32 +0000 2016,javirnitin1,false,"#civil engineer,good cricketer,curious in extraterrestrial life,",102816,188,244,0,"Thane, India",Nitin Shahaji Javir,javirnitin1,65963,,,false
,Sat Apr 25 00:10:38 +0000 2020,,,,0,1253838793075023872,,,,en,,,15,1253721270954471424,ROFAcampaign,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ROFAcampaign: It’s as though U.K. Government never signed &amp; ratified the UN CRPD. @JustinTomlinson you need to talk to representative O…,https://twitter.com/turnerlara/status/1253838793075023872,Wed Jul 06 14:27:43 +0000 2011,turnerlara,false,,19950,87,128,0,United Kingdom,Lara Turner,turnerlara,4223,,,false
,Fri Apr 24 12:04:27 +0000 2020,,,,0,1253656046297649153,,,,en,,,44,1253654400389787648,TheNewEuropean,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TheNewEuropean: ""What’s ironic about Hopkins, Young and Hannan professing disappointment in the people of Britain is that they’ve spent…",https://twitter.com/Paul2000/status/1253656046297649153,Wed Feb 04 11:48:26 +0000 2009,Paul2000,false,,25896,109,330,1,Edinburgh,Paul Riley,Paul2000,20463,,http://www.smithandriley.co.uk,false
,Fri Apr 24 23:09:45 +0000 2020,,,,0,1253823472293339137,,,,en,,,196,1253761344542773248,Styx666Official,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @Styx666Official: Hi @TeamYouTube I appealed your decision to remove my video which is about chemotherapy and the difference between qua…,https://twitter.com/andrewsiff/status/1253823472293339137,Fri Feb 26 15:02:41 +0000 2010,andrewsiff,false,"Work, eat, sleep, repeat. Classically trained chef, 42 years in the industry.",86990,1686,4113,61,"Nassawadox and Richmond, Va.",cookboy,andrewsiff,103221,,http://www.ranchorelaxo.fun,false
,Sat Apr 25 04:29:57 +0000 2020,,,,0,1253904055295934465,,,,en,,,1,1253904033657454592,josephgeorgeal1,"<a href=""https://mgklaceupbot.com"" rel=""nofollow"">EST 19XX BOT</a>",RT @josephgeorgeal1: @SommerRay you are the prime example of a female that rappers rap about. Don't be shocked that he didn't want to commi…,https://twitter.com/mgk_est_19_xx/status/1253904055295934465,Sat Sep 21 23:36:29 +0000 2019,mgk_est_19_xx,false,Independent bot that gives rt in tweets that have to do with Machine Gun Kelly (MGK). #TicketsToMyDownfall 🎸.✖ Developer ✖: @danielcamposkkk / @fuckdxniel,13,1281,6,4,Hotel Diablo ,🤖 BOT Don (Colson patrolman ❌❌),mgk_est_19_xx,155353,,,false
,Fri Apr 24 23:40:13 +0000 2020,ChickenDonald,,https://twitter.com/TimNoEgo/status/1253820463530168320,0,1253831142026948610,,,,en,,false,3,1253822413982269441,saavik2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @saavik2020: Because he doesn't want to admit it's happened.
#ChickenDonald https://t.co/l5v6smM9Xl",https://twitter.com/KF86979815/status/1253831142026948610,Fri Apr 03 01:40:02 +0000 2020,KF86979815,true,Evolving reasoning and deciding daily,2562,109,642,0,,KF,KF86979815,1508,,,false
,Fri Apr 24 20:49:31 +0000 2020,,,https://twitter.com/WScetrine/status/1253770343639998465,0,1253788182669225985,,,,en,"Melbourne, Victoria",true,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","”While the government has been rightly praised for its quick economic response to the economic slump triggered by the virus,”
Whaaat? Praised by who exactly? By lnp toadies who ignore the pressure from Labor at State and Federal level and the NSW Premier to act https://t.co/8pfEBsjGoe",https://twitter.com/JohnnyLydon/status/1253788182669225985,Mon Apr 13 07:32:05 +0000 2009,JohnnyLydon,false,Policy maven always striving for good policy outcomes. I hate how RWNJs & their media mates have debauched the word ‘reform’,22369,260,302,0,"Melbourne, Victoria",jk,JohnnyLydon,15370,,,false
,Fri Apr 24 22:53:29 +0000 2020,UNSC,,,0,1253819377486446592,,,,en,,,10,1253660862147178496,achesonray,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @achesonray: It's the International Day for Multilateralism &amp; Diplomacy for Peace. While the #UNSC fails, other @UN bodies, intl orgs, a…",https://twitter.com/wagepeaceau/status/1253819377486446592,Wed Mar 08 02:21:32 +0000 2017,wagepeaceau,false,Joining and amplifying voices and campaigns disturbing war and militarism in Australia. We organise &mobilise to #endwarculture #MakeWestPapuaSafe #FrontierWars,8111,889,1103,15,The Great South Land (Australia),Antifascist #WagePeace,wagepeaceau,14393,,https://www.wagepeaceau.org,false
,Fri Apr 24 21:50:06 +0000 2020,,,https://twitter.com/GiancarloSopo/status/1253788429743161344,1,1253803429585010688,,,,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","There is no ban on migration... They (them again) want it that way.
3rd World migrants are the weaponry of our enemies.
America 🇺🇸 under siege, enemy within. https://t.co/0P9amH61F6",https://twitter.com/JSWilder2/status/1253803429585010688,Sun Sep 22 14:41:38 +0000 2019,JSWilder2,false,Self made Roads Scholar & all 'round Brilliantaire. ALL AMERICAN Soldier 🇺🇸. WE must return our Country unto ourselves. I've got a plan.,38286,1000,1272,1,"Scottsdale, AZ",J S Wilder ®,JSWilder2,32569,,,false
