coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Apr 20 23:03:34 +0000 2020,,,https://twitter.com/GeoffRBennett/status/1252051459610480642,0,1252372366455271430,,,,en,,false,31,1252371738345660416,irishrygirl,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @irishrygirl: A 5 year old died, Trump is complaining about trade, Clinton and allies. https://t.co/aD5WSyqLHj",https://twitter.com/ellenbyrne/status/1252372366455271430,Sat Feb 21 16:03:38 +0000 2009,ellenbyrne,false,Illustrator,39345,688,1394,33,"Frederick, Maryland",Ellen Byrne,ellenbyrne,26923,,http://www.ellenbyrne.com,false
,Mon Apr 20 09:01:20 +0000 2020,,,,0,1252160408577703936,,,,en,,,1377,1251424074598768641,SHYZSTERIGINAL,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @SHYZSTERIGINAL: Good news is that local cases are decreasing which shows cb is actually showing results but bad news dorm cases are sky…,https://twitter.com/_Umirzan_/status/1252160408577703936,Tue Aug 21 08:51:09 +0000 2018,_Umirzan_,false,,1581,66,168,0,Singapore,Umirzan,_Umirzan_,8479,,,false
,Mon Apr 20 19:18:09 +0000 2020,,,,0,1252315638493843462,,,,en,,,81,1252310823940186114,LaurenKGurley,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LaurenKGurley: Inspired by striking McDonald's workers 5 blocks down the street, workers at a Domino's on Crenshaw Blvd in LA are prote…",https://twitter.com/sloppynikki/status/1252315638493843462,Sat May 12 06:10:19 +0000 2018,sloppynikki,false,"she/they, trans, 28. ancomm. failed writer. antifa. my wife is twice as powerful @sadbitchicon",18890,106,554,1,,"nikki, failed writer",sloppynikki,7334,,,false
,Tue Apr 21 00:56:49 +0000 2020,covid19,,,1,1252400864616054785,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Props to my leadership team for taking #covid19 Seriously. They show that the health and well being of the employees are more important than the convenience and short term profits of pre-mature opening.,https://twitter.com/MajinArmy/status/1252400864616054785,Thu Dec 08 17:01:52 +0000 2011,MajinArmy,false,"I am the Alabama Crab Dangle
https://t.co/OL31Xfxqmr",851,28,187,0,"Mobile, AL",魔人,MajinArmy,1584,,,false
,Mon Apr 20 15:02:58 +0000 2020,,,https://www.cnn.com/videos/us/2020/04/19/pastor-tony-spell-coronavirus-stimulus-check-donations-blackwell-newday-vpx.cnn,0,1252251419626766338,,,,en,,false,1,1252249382482665474,Bizypawz,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Bizypawz: Pastor defends asking congregants to donate stimulus checks
https://t.co/OHG2VXeJJY",https://twitter.com/7dnetwork/status/1252251419626766338,Thu Jul 12 17:43:44 +0000 2012,7dnetwork,false,"A Grandmother, Business owner, A fighter #Resistance #BLM NO DMs “Our job is to be an awake people...utterly conscious, to attend to our world.” 
― Louis Owens",87142,3817,4898,17,Boise Idaho,C.A.R,7dnetwork,82243,,,false
,Mon Apr 20 09:52:16 +0000 2020,TogetherAtHome,,,0,1252173228979650560,,,,en,,,86,1251974053990141955,DrTedros,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrTedros: Exquisite closing performance in the #TogetherAtHome concert by the legendary @AndreaBocelli, @celinedion, @ladygaga, @lang_l…",https://twitter.com/ictjournalist/status/1252173228979650560,Tue Nov 25 10:43:34 +0000 2008,ictjournalist,false,"I am a Journalist specialised in reporting on Information communication technologies for development (ICT4D), social, science, agriculture and gender issues.",3642,14611,15877,348,"Lusaka, Zambia",Brenda Nglazi Zulu,ictjournalist,16005,,http://brendait.blogspot.com,false
,Tue Apr 21 04:24:11 +0000 2020,,,,0,1252453052977606656,,,,en,,,3,1252452744109215744,PaulSchmehl,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @PaulSchmehl: @YouTube @zev_dr @markmoby @nwwh @WebMD And of course, the media has jumped all over this study that “proves” that HCQ is…",https://twitter.com/teslat1/status/1252453052977606656,Thu Jun 30 19:35:24 +0000 2011,teslat1,false,,3024,315,308,7,,SB,teslat1,123525,,,false
,Mon Apr 20 22:41:32 +0000 2020,coronavirus,,,0,1252366821983838209,badluck_jones,1252364152569397200,828390809317756900,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@badluck_jones @fixit_ms @BobPriceBBTX @BreitbartNews Coronavirus or no #coronavirus they just keep coming.,https://twitter.com/veritasrepublic/status/1252366821983838209,Sun Nov 27 01:40:54 +0000 2016,veritasrepublic,false,"#Conservative #GOP #MAGA, #Trump2020 #Christian, business exec, vet, int'l relations, strategic defense & national security #AmericaFirst #1A #FBTS #NRA",59981,39684,39075,17,"St. Lawrence County, NY",Queenstown 🦅⚔🇺🇸,veritasrepublic,78209,,,false
,Mon Apr 20 13:17:37 +0000 2020,,,,0,1252224904193347585,,,,en,,,1474,1252045900412866564,SJPFISH,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SJPFISH: 🔥Trey Gowdy Slams The World Health Organization 

💥1-Said The Coronavirus Couldn’t be Spread Human to Human

💥2-Said We didn’t…",https://twitter.com/ceilb/status/1252224904193347585,Fri May 22 03:13:45 +0000 2009,ceilb,false,"Very patriotic,Don't Mess With Texas, came back to Twitter to support Trump, love hockey especially Dallas Stars,Allen Americans and Dallas Snipers",1595,509,620,0,"Dallas, TX",Ceil Breitwieser,ceilb,5796,,,false
,Mon Apr 20 21:58:09 +0000 2020,,,,0,1252355904294359040,,,,en,,,67,1252308510135762945,EricHolthaus,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @EricHolthaus: The Trump Administration has already directed the EPA not to enforce environmental laws during the coronavirus pandemic.…,https://twitter.com/USDemocracy2020/status/1252355904294359040,Sat Jan 07 00:53:23 +0000 2017,USDemocracy2020,false,What matters: Truth & EqualJustice ForALL. We the People must stand up for the common good! #SaveACA #Health #Education #Leadership #Biden2020 #ClimateActionNow,19442,587,2021,5,USA Protect Democracy🗽,Wake Up America!🗽,USDemocracy2020,178321,,,false
