coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Apr 09 16:25:46 +0000 2020,RMMCovidSocialActivites RMM Corona,,,0,1248285989405167616,,,,en,,,66,1248214397928914945,thalaivar1994,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @thalaivar1994: #RMMCovidSocialActivites

Each District #RMM are doing Their BEST to Fight Against The #Corona by Helping The NEEDY !!…",https://twitter.com/vijipoy/status/1248285989405167616,Sat Dec 17 17:12:53 +0000 2011,vijipoy,false,RMM POLLACHI - JOINT SECRETARY,8647,927,899,3,Pollachi,Viji,vijipoy,29441,,,false
,Thu Apr 09 08:22:13 +0000 2020,,,https://twitter.com/TimesNow/status/1248072640486662144,0,1248164301380022275,ikamalhaasan,,4628602041,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@ikamalhaasan will be proud of his mentors https://t.co/HstAm9KWm9,https://twitter.com/Sampatkanand/status/1248164301380022275,Wed Jul 24 17:47:35 +0000 2013,Sampatkanand,false,"sarve bhavanthu sukhina: vasudaiva kutumbakam

passionate data professional
learning distributed ledger",146305,917,970,66,India,Anand S,Sampatkanand,76510,,,false
,Thu Apr 09 10:05:39 +0000 2020,,,,0,1248190331046125570,,,,en,,,87,1248166512046698498,Vijay65_Film,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Vijay65_Film: We miss you, just like how you miss us! 

Hoping that a master-mind finds an antidote and put an end to Corona! 

We'll c…",https://twitter.com/shashik70091154/status/1248190331046125570,Thu Mar 21 05:54:55 +0000 2019,shashik70091154,false,"Bangalore Tamil Pasanga Dr Vijay Makkal Iyakkam (Reg No 38972 ) Vice Secretary
Thalapathy Thambi daaa Annan Veriyan Upcoming Movie #Master",94307,701,840,0,"Bengaluru South, India",shashikumar v,shashik70091154,89264,,,false
,Fri Apr 10 01:56:42 +0000 2020,,,,3,1248429668895559682,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ain’t nobody have smoke spots in Corona/Norco like I do🧐,https://twitter.com/nick_4700/status/1248429668895559682,Fri Apr 28 06:05:46 +0000 2017,nick_4700,false,Self-Made 💯| Augustine General Engineering| ‘58 Chevrolet Pickup🩸,3721,192,181,0,"Corona, CA",Nick Mendez,nick_4700,3188,,,false
,Thu Apr 09 10:37:53 +0000 2020,,,,0,1248198439495782400,,,,en,,,1745,1248169334742056961,mikegalsworthy,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @mikegalsworthy: That’s £6.5 million extra cost for MPs’ personal expenses.

£10K each for new printers, etc cannot be right. This seems…",https://twitter.com/Dodlink/status/1248198439495782400,Wed May 06 17:45:37 +0000 2009,Dodlink,false,Passionate about people and PR. Raising awareness of CSM with https://t.co/zV9nHbRRc7. Freelance PR. Seeking truth at all times. Wannabe poet.,39458,1475,3107,39,Tunbridge Wells UK,Delphine Houlton,Dodlink,4626,,,false
,Thu Apr 09 12:37:38 +0000 2020,,,,0,1248228575980871680,,,,en,,,11739,1248166292294488067,XBFilmCreators,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @XBFilmCreators: We miss you, just like how you miss us! 

Hoping that a master-mind finds an antidote and put an end to Corona! 

We'll…",https://twitter.com/AKRajaChandran/status/1248228575980871680,Tue Aug 08 18:40:45 +0000 2017,AKRajaChandran,false,Mech Engineer from DR.SIVANTHI @ Tiruchendur.,32291,116,245,0,"Tamil Nadu, India",A.K.Raja Chandran,AKRajaChandran,3261,,,false
,Thu Apr 09 13:27:14 +0000 2020,,,,0,1248241060234420230,narendramodi,1248221893649293300,18839785,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@narendramodi @KagutaMuseveni Thanks to Lockdown! 

INDIA IS  BATTLING KILLER CORONA &amp; I am sure India will Surely WIN this Battle :)",https://twitter.com/nithinkumar2000/status/1248241060234420230,Sun Jul 10 11:36:43 +0000 2011,nithinkumar2000,false,,19,7,5,0,Coimbatore,Nithin Kumar,nithinkumar2000,5,,,false
,Thu Apr 09 09:07:54 +0000 2020,,,,0,1248175795165491202,,,,en,,,1359,1247820599272988672,KyaUkhaadLega,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @KyaUkhaadLega: It’s high time the central government intervenes and probably takes control of the situation in Mumbai. It’s getting bad…,https://twitter.com/urbanhermit7/status/1248175795165491202,Mon Sep 14 10:23:50 +0000 2009,urbanhermit7,false,"Speculator (Investor-Trader). 

Tweets are random thoughts.

I don't take life too seriously nor should u.

Wide range of interests apart from health & wealth.",23568,1771,42,22,Mumbai,urban hermit,urbanhermit7,41107,,,false
,Thu Apr 09 19:11:10 +0000 2020,,,https://twitter.com/minotaurmonsta/status/1248230700979048449,3,1248327611983560704,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",except we actually hate her for not giving us the music. https://t.co/SCcj6Myvdo,https://twitter.com/gagaerotica/status/1248327611983560704,Sat Mar 23 12:54:01 +0000 2019,gagaerotica,false,most controversial user in stan twitter. anti-cupcake. evil monster,12055,1599,1558,3,,Bootz ᴛʜᴇ ᴛʀᴜᴛʜᴛᴇʟʟᴇʀ™💎 (born this way era),gagaerotica,11760,,,false
,Thu Apr 09 16:10:42 +0000 2020,,,https://www.nationalreview.com/2020/04/coronavirus-race-fight-pandemic-dont-get-bogged-down-racial-categorization/,0,1248282198547062784,,,,en,,false,4,1248271045875904514,Calloutfortruth,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Calloutfortruth: Coronavirus &amp; Race: Fight Pandemic, Don't Get Bogged Down in Racial Categorization  https://t.co/VslYYxvIPy",https://twitter.com/JoelGuidry3/status/1248282198547062784,Wed Nov 23 13:56:54 +0000 2016,JoelGuidry3,true,Happy single dad. We are both huge President Trump fans. #MAGA,161685,3216,4907,1,"Louisiana, USA",Cajun Dad,JoelGuidry3,177807,,,false
