coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Apr 26 02:58:19 +0000 2020,,,,0,1254243381917736961,,,,en,,,66574,1254081478033432579,JustSumGuy176,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JustSumGuy176: IM NOT FUCKING KIDDING YOU WHEN I TELL YOU......I TOOK CARE OF A PATIENT WHO DRANK DILUTED BLEACH.....ITS NOT A FUCKING…,https://twitter.com/laurenlesterr/status/1254243381917736961,Thu Jan 22 02:16:43 +0000 2015,laurenlesterr,false,hi handsome @dbow_232 ღ,44597,748,456,0,ohio university,lauren ann,laurenlesterr,23139,,https://suicidepreventionlifeline.org,false
,Sat Apr 25 14:30:02 +0000 2020,,,,0,1254055071597367296,,,,en,,,98,1254053476008701957,ChrisCuomo,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @ChrisCuomo: Thank you, Jeremy Harrell, for the service fighting terror abroad and fighting mental illness at home. Here is how veterans…",https://twitter.com/very_sleepy34/status/1254055071597367296,Mon Jul 01 17:24:50 +0000 2019,very_sleepy34,false,"Humanity First
~Always looking forward~
Ephesians 4:31-32",29987,395,714,1,,Ray 🧢,very_sleepy34,11449,,,false
,Sat Apr 25 14:14:04 +0000 2020,Blockchain,,,0,1254051053667889152,,,,en,,,275,1253893743712878592,Omkar_Raii,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Omkar_Raii: #Blockchain can bring paradigm shift in manufacturing sector by ensuring quality assurance through tracking supply chain &amp;…,https://twitter.com/marutiece/status/1254051053667889152,Tue Aug 11 05:13:19 +0000 2009,marutiece,false,,7185,114,357,25,,Maruthi Prasad,marutiece,26351,,,false
,Sun Apr 26 01:31:59 +0000 2020,7NEWS,,https://7news.link/2Y6Pe0w,0,1254221654915313665,,,,en,,false,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BREAKING: A man has died in a Victorian hospital, bringing the state’s COVID-19 death toll to 17. #7NEWS https://t.co/o8OsIWWAqA",https://twitter.com/7NewsPerth/status/1254221654915313665,Thu Jul 16 05:00:34 +0000 2009,7NewsPerth,false,"First for news in Perth with Rick Ardon, Susannah Carr, @BasilZempilas, @samjolly7news, @AngelaTsun, @timdmcmillan & @adrianbarich | #7NEWS",1094,81929,1722,571,"Perth, Western Australia",7NEWS Perth,7NewsPerth,55060,,http://www.7NEWS.com.au,true
,Sat Apr 25 06:59:37 +0000 2020,,,,0,1253941717616611328,,,,en,,,489,1253856009845641217,Bubblebathgirl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Bubblebathgirl: Chris Cuomo verbally assaulted David Whelan on Easter.

Cuomo was sick with COVID-19 and was supposed to be quarantined…",https://twitter.com/ColleenV89/status/1253941717616611328,Tue May 01 08:41:37 +0000 2018,ColleenV89,false,"US Army veteran❌
voted #MAGA then 
campaigning #KAG❌ now ❌
Trump 2020❌
Happily married 
NOT LOOKING FOR HOOKUPS!!!",67591,13115,14305,6,United States,🇺🇲Colleen❌🇺🇲,ColleenV89,90701,,,false
,Sat Apr 25 09:51:37 +0000 2020,,,,0,1253985002473295872,,,,en,,,14774,1253455078071173128,NicoleSganga,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NicoleSganga: Today, the Trump campaign launched its official ""Trump 2020"" app. 

Its developer @phunware received a $2.85 million loan…",https://twitter.com/AimeeFilms/status/1253985002473295872,Wed Feb 01 18:17:36 +0000 2017,AimeeFilms,false,Concerned Citizen. Filmmaker. Mom.,1936,19,305,2,"Silver Spring, MD",AimeeFilms,AimeeFilms,2053,,,false
,Sat Apr 25 11:27:55 +0000 2020,CCP China,,,0,1254009237157658624,,,,en,,,146,1253983876382326786,patcondell,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @patcondell: The gangster #CCP has made #China an enemy of the world. They export “organic” food grown in chemical waste and toys that w…,https://twitter.com/DeWesthuizen/status/1254009237157658624,Mon Feb 18 11:07:17 +0000 2019,DeWesthuizen,false,"A proud racist, Zionist, islamaphobe, To hate evil is to do well. The ANC is a crime against humanity and the epicenter of organized crime.",76,77,781,0,,Frank van de westhuizen,DeWesthuizen,4601,,https://theworldaccordingtoeffexor.wordpress.com,false
,Sun Apr 26 02:14:15 +0000 2020,,,,0,1254232293742448642,,,,en,,,1810,1253894533550616582,secupp,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @secupp: This is bad...

“Spike in NYC residents ingesting householder cleaners: Poison Control Center” - New York Daily News https://t.…",https://twitter.com/prosperi_gloria/status/1254232293742448642,Tue Jul 17 23:17:48 +0000 2012,prosperi_gloria,false,,148901,768,406,33,,Gloria Prosperi,prosperi_gloria,161195,,,false
,Sat Apr 25 13:12:53 +0000 2020,Corona,,,0,1254035655090266112,,,,en,,,1476,1246146438842777600,DanielNewman,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DanielNewman: Thanks @GayleKing @CBSThisMorning my story! 

RETWEET! WHY DONT WE HAVE MASS free #Corona TESTING?! USA &amp; S.Korea got #Co…",https://twitter.com/jesuistopher/status/1254035655090266112,Fri Apr 17 22:27:59 +0000 2020,jesuistopher,false,,2355,9,39,0,,christopher scott,jesuistopher,386,,,false
,Sat Apr 25 11:19:22 +0000 2020,,,,0,1254007085941043200,GabrielMacht,,164596794,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@GabrielMacht
@halfadams
@sarahgrafferty
@RickHoffman_
 Hi!! I know you likely won't see this but both my parents recently had Covid-19 and luckily they’re both recovering now after a very tough time! But it would mean the world if you could send a quick video to my mum(Saima)(1)",https://twitter.com/alizeh_h20/status/1254007085941043200,Thu Apr 23 15:27:24 +0000 2020,alizeh_h20,false,IG: alizehhussainn,9,0,14,0,,alizeh,alizeh_h20,65,,,false
