coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Apr 26 09:08:08 +0000 2020,,,,0,1254336450469953538,,,,en,,,7,1254336238359846912,MeteorTutors,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @MeteorTutors: Eurovision Again: Why fans of the song contest get together every Saturday 💫💫💫 In the absence of this year's Eurovision S…,https://twitter.com/OrganisedByUs/status/1254336450469953538,Tue Feb 12 11:38:16 +0000 2013,OrganisedByUs,false,"We're a specialist services company: Admin/Office Management, Website Design, Formula 1 - Silverstone, Monaco & Abu Dhabi, Event Management and Corporate Travel",3764,136,339,7,,Organised By Us,OrganisedByUs,3617,,,false
,Sun Apr 26 23:47:06 +0000 2020,,,,0,1254557649342836736,,,,en,,,8913,1254542283917180928,funder,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @funder: BREAKING: Trump will no longer hold daily coronavirus propaganda briefings. A gigantic win for all Americans, and for all of hu…",https://twitter.com/Kkcountess1/status/1254557649342836736,Wed Nov 28 22:15:49 +0000 2018,Kkcountess1,false,Truth & Karma are my credo! Words to live by...  Registered Independent. I vote for person not party always. I never voted for tRump & never will!,29752,190,330,0,Wyobraska ,Kkcountess,Kkcountess1,14546,,,false
,Sun Apr 26 09:05:57 +0000 2020,,,,0,1254335900500275200,,,,en,,,21573,1254187423011045385,officialmcafee,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @officialmcafee: NYC has had 11,000 Covid deaths.

Tokyo, the World's largest and densest city, has had 93.

NYC is locked down.

Tokyo…",https://twitter.com/graceful_belch/status/1254335900500275200,Sun Jan 29 20:16:02 +0000 2017,graceful_belch,false,American Exceptionalism. God-Family-Country-Community. Dignity through work and achievement.,34249,776,973,0,,Oothimus,graceful_belch,27331,,,false
,Sun Apr 26 21:48:31 +0000 2020,,,,0,1254527807557898246,,,,en,,,185,1254498869452443651,omertene,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @omertene: Breaking: Israel Supreme Court strikes down security service (Shin Bet) monitoring of  COVID-19 patients' location for contac…,https://twitter.com/IPabloRubio/status/1254527807557898246,Sun Mar 15 11:18:36 +0000 2020,IPabloRubio,false,IP/IT Lawyer. CCO/DPO.,37,68,549,2,,Pablo Rubio,IPabloRubio,12,,,false
,Sun Apr 26 05:24:18 +0000 2020,autism COVID19,,,0,1254280119167840256,,,,en,,,82,1253486157234503681,jpitney,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @jpitney: For years, quacks have been hawking a bleach solution as an #autism ""cure."" Lately, they've rebranded it as a #COVID19 cure.…",https://twitter.com/bo_palinic/status/1254280119167840256,Tue Mar 24 23:14:40 +0000 2009,bo_palinic,false,From Russia With Love,86523,1675,2670,21,Los Angeles,Bo Palinic,bo_palinic,168071,,,false
,Sun Apr 26 14:24:20 +0000 2020,,,,0,1254416022003748866,,,,en,,,51,1254039205426192384,NkirukaNistoran,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NkirukaNistoran: COVID-19: Can Africa Afford Lockdowns? by Chukwuma Charles Soludo, CFR 

What should Africa do?

We should think Afric…",https://twitter.com/UchennaNwabuez1/status/1254416022003748866,Fri Dec 18 04:43:48 +0000 2015,UchennaNwabuez1,false,,74,817,350,104,,Uchenna Nwabueze,UchennaNwabuez1,86174,,,false
,Sun Apr 26 15:43:24 +0000 2020,,,,0,1254435922545790980,,,,en,,,424,1254321099908636673,johnerckret,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @johnerckret: Can't wait to hear 
'Philippines is now COVID19 Free"" 🇵🇭

In Jesus name",https://twitter.com/_JustinEarl/status/1254435922545790980,Sat Feb 29 13:33:34 +0000 2020,_JustinEarl,false,Syalawaks,2587,113,207,0,"Alaws, NA",ʏᴇᴘᴀʏ,_JustinEarl,1968,,http://skubarupdapdap.com,false
,Sun Apr 26 08:14:16 +0000 2020,,,,0,1254322893883727874,,,,en,,,140,1254321787120291846,CNBC,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CNBC: Gyms in China’s capital city of Beijing were forced to close again, as fears rise over a second wave of coronavirus. https://t.co…",https://twitter.com/c_mike13/status/1254322893883727874,Tue Dec 11 17:17:56 +0000 2018,c_mike13,false,SHOW ME THE HONEY 🍯🐻 CRYPTO PIONEER 🚀🌘 The SCOOP 🍯,13793,393,763,5,"Las Vegas, NV",XRP HONEY BEAR 🍯,c_mike13,4193,,,false
,Sun Apr 26 06:43:51 +0000 2020,COVID19,,,0,1254300139495153665,,,,en,,,53,1254291000987578368,ndtv,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ndtv: PM Modi urges people to stop spitting in public places, says it will increase basic hygiene and strengthen fight against #COVID19…",https://twitter.com/MohdArif99985/status/1254300139495153665,Thu Nov 09 03:54:35 +0000 2017,MohdArif99985,false,"अपना तो एक ही सपना है , सर पे ताज़ एक मुमताज़ और इस दुनिया पर राज़ 😎😎",23473,171,309,0,"New Delhi, India",Mohd. Arif,MohdArif99985,21903,,,false
,Sun Apr 26 16:54:30 +0000 2020,,,https://www.nationalreview.com/2020/04/coronavirus-restrictions-government-bears-burden-of-proof-before-denying-freedoms/,0,1254453814855208961,,,,en,,false,77,1254431660311023616,AndrewCMcCarthy,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @AndrewCMcCarthy: Government Bears the Burden of Proof on Coronavirus Restrictions https://t.co/H4Lc8vdFf3,https://twitter.com/KennethBeck7/status/1254453814855208961,Sun Dec 22 20:56:14 +0000 2013,KennethBeck7,false,"Small Business Owner,Constitutional Conservative, follow me on PARLER @KennethBeck7",23688,828,819,11,"Born & raised in SoCal ,Minnesota transplant.",Kenneth Beck,KennethBeck7,78944,,,false
