coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Mar 27 07:03:30 +0000 2020,,https://twitter.com/triolovinghours/status/1243433447609245702/photo/1,,0,1243433447609245702,triolovinghours,1243432019301982200,1035975714258989000,en,,false,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","pg 19 is bound to be controversial, since its about current events (and because corona is literally grafted right into the page) but its important to note that this series takes place in 2045! the events of this page is emma referring to the suffering of everyone, not just them. https://t.co/bskuB9uMat",https://twitter.com/triolovinghours/status/1243433447609245702,Sat Sep 01 19:40:32 +0000 2018,triolovinghours,false,side acc for @daniople 🔪 whats up: THE PROMISED NEVERLAND + noremma/shiroaka ⚪️🔴 🔪 ENG 🔪 don’t QRT/repost my art 🔪 NOT spoiler-free !!,1049,101,180,2,main: @daniople,dani @ finished,triolovinghours,1388,,,false
,Fri Mar 27 13:43:58 +0000 2020,,,,0,1243534229432041475,,,,en,,,13,1243534022594068481,nchAAithu7,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nchAAithu7: Here is the tag.....
👇👇👇

Vesthe.....twitter ki corona raavali...
50 RTS  possible in 5 min??
Choodham AA fans ...dhammu🤙🤙…",https://twitter.com/mech_teja/status/1243534229432041475,Fri Oct 04 08:47:25 +0000 2019,mech_teja,false,fight 💪👊for what you love❤,696,5,218,0,"Tirupati, India",Teja Mech,mech_teja,3162,,,false
,Sat Mar 28 07:10:51 +0000 2020,,,https://twitter.com/ChaitanyadTOI/status/1243753345967218689,0,1243797685032767488,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",this good one https://t.co/qBQimgg5OP,https://twitter.com/abhilashbTOI/status/1243797685032767488,Fri Sep 11 11:02:30 +0000 2015,abhilashbTOI,false,Maaf karna jigarbaz.. Do din roe or fir rajniti shuru....,1615,1641,192,9,"Nashik, Maharashtra",Abhilash,abhilashbTOI,8932,,,false
,Sat Mar 28 07:52:39 +0000 2020,,,https://twitter.com/natashabadhwar/status/1243719369928183809,0,1243808205458698243,,,,en,,false,9,1243807063597150214,Avinash_1_Kumar,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Avinash_1_Kumar: We have unleashed a larger pandemic in our response to Corona! https://t.co/5QOyvF7HIU,https://twitter.com/Dhikkaari/status/1243808205458698243,Mon May 26 11:11:16 +0000 2014,Dhikkaari,false,,18460,47,533,0,,Soy la puta ama,Dhikkaari,11302,,,false
,Sat Mar 28 07:06:48 +0000 2020,,,,156,1243796666655916046,Joshua_Ubeku,1243793692873326600,459496578,en,,,14,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Joshua_Ubeku That should be a violent thunderstorm, an asteroid will leave rock particles I assume. Just when people think they will beat corona by staying indoor, it sends it’s cousin( thunderstorm) to force them out.",https://twitter.com/Xavierfidel/status/1243796666655916046,Wed Mar 17 19:39:35 +0000 2010,Xavierfidel,false,Like my Tweet = Follow. Comment on my Tweet = Follow. Retweet my Post= Follow.,2736,751,1502,0,Abuja,The_RealKhalid,Xavierfidel,2775,,,false
,Sat Mar 28 06:19:55 +0000 2020,,,,0,1243784867776589824,,,,en,,,32295,1243344694723018752,BREWSRONE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BREWSRONE: corona virus got people being horny, depressed, creative and true alcoholics..im all 4",https://twitter.com/josseee_jimenez/status/1243784867776589824,Thu Jan 23 23:42:47 +0000 2020,josseee_jimenez,false,🇲🇽🍀🌴🍅🦐 • 24,8417,174,165,0,"Corona, CA",Manuel,josseee_jimenez,8532,,,false
,Fri Mar 27 13:18:06 +0000 2020,,,,0,1243527719155097603,,,,en,,,3160,1242952713853337600,DaRealDarreion,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DaRealDarreion: This corona shit is serious💔 lord please watch over everybody and they family and friends😩,https://twitter.com/iAmKyrial/status/1243527719155097603,Mon Jun 20 05:34:37 +0000 2011,iAmKyrial,false,"BSN, RN• Nicholls State Alumna Instagram:echoesof_me • DDS❤️",19272,842,745,0,"on your TL,duhhh!",[khy•ree•elle],iAmKyrial,76290,,,false
,Fri Mar 27 20:39:40 +0000 2020,,,https://twitter.com/BootleggerOOC/status/1243565399331012619,0,1243638844622282753,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When I first land back in the boozer after the corona virus outbreak https://t.co/8QYbbnzEyq,https://twitter.com/anslow87/status/1243638844622282753,Sun Nov 14 13:54:20 +0000 2010,anslow87,false,"aston villa supporter . part time cricket player and supporter, carp angler and pugilist expert",4560,435,892,1,bromsgrove/birmingham,sugar sean anslow,anslow87,7733,,,false
,Sat Mar 28 07:06:58 +0000 2020,Corona,,,0,1243796707264978945,,,,en,,,46,1242153798962827264,DFS_India,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @DFS_India: Keeping in mind the disruption in lives of every Indian due to #Corona, IRDA has decided to provide certain relaxations to I…",https://twitter.com/pnbindia/status/1243796707264978945,Fri Sep 18 13:09:23 +0000 2015,pnbindia,false,A Leading Pan India Bank with Global footprints. Social Media Policy - https://t.co/Zyd5B6fD97,891,151955,49,88,"Head Office: New Delhi, India",Punjab National Bank,pnbindia,39686,,http://www.pnbindia.in,true
,Fri Mar 27 13:53:32 +0000 2020,,,https://twitter.com/realDonaldTrump/status/1243407157321560071,0,1243536634236338180,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Good News. Seems Trump has laid hands on Chinese Anti Corona Vaccine. All this will end soon! https://t.co/nzoHxKgq8j,https://twitter.com/anand_dr87/status/1243536634236338180,Mon Oct 05 03:50:07 +0000 2009,anand_dr87,false,"ICU is Home, SRK is Life , Cinema is Food , Doc and much more!A Liberal Right Winger. Proud Hindu!",990,555,294,8,kolkata,Anand,anand_dr87,13056,,https://m.facebook.com/groups/273340469434159,false
