coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Apr 23 18:58:42 +0000 2020,,,,0,1253397904653508608,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@ColeTrainsLife Indeed. Outrageous how some people think they derserve special treatment and the rules don't apply to them only ""others"" 🙄 Hope she keeps her Covid klan away from everyone else and doesn't show up to the ER for treatment.",https://twitter.com/saralynne65/status/1253397904653508608,Mon Aug 10 01:56:18 +0000 2009,saralynne65,false,I would like to thank my middle finger for always sticking up for me when I need it 🖕🖕🖕. #RESIST No Lists. She/Her.,281336,4948,5168,32,United States,Sara,saralynne65,125639,,,false
,Thu Apr 23 06:13:39 +0000 2020,EUvsVirus,,,0,1253205374443966465,,,,en,,,2,1253198971075526656,StartupEUMed,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @StartupEUMed: #EUvsVirus Hackathon from April 24th to 26th! Together with the innovators, industry experts and all participants we seek…",https://twitter.com/IlCommPorro/status/1253205374443966465,Mon Apr 18 10:11:18 +0000 2011,IlCommPorro,false,SVP Global Public Affairs @FacilityLive @StartUpEUMed & Presidency @eutechalliance,14780,1833,2969,546,Global,Fabrizio Porrino,IlCommPorro,31765,,https://www.linkedin.com/in/fabrizioporrino,false
,Thu Apr 23 20:27:52 +0000 2020,COVID19,,,0,1253420347350605825,,,,en,,,3068,1253034861033656320,WHO,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @WHO: WHO declared #COVID19 a Public Health Emergency of International Concern on 30 January 2020, when there were less than 100 cases,…",https://twitter.com/shetlandpeat/status/1253420347350605825,Tue Aug 11 20:14:32 +0000 2009,shetlandpeat,false,"South Ribble Borough & Penwortham Councillor 4 Middleforth. Card carrying Unite member, and Photo Journalist.",683,1176,1199,29,"Penwortham,North West, England",Cllr Keith Martin,shetlandpeat,20459,,,false
,Thu Apr 23 14:56:29 +0000 2020,,,,0,1253336951035359235,,,,en,,,24601,1253296736589807619,realDonaldTrump,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @realDonaldTrump: Please study this closely. We saved many lives with our fast action on CoronaVirus!,https://twitter.com/KirkYou75197543/status/1253336951035359235,Mon Jun 03 20:29:51 +0000 2019,KirkYou75197543,false,,1784,46,99,0,,Kirk Young,KirkYou75197543,2629,,,false
,Thu Apr 23 15:32:05 +0000 2020,Spain Death Coronavirus ArabianNews GulfDaily,,https://www.gulfdaily.com/rest/public/api/news/30284ecbe2b2a/c2hhcmVkPXR3,0,1253345910467297283,GulfDailyCom,1253345905803169800,1190696743584882700,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Spain’s #Death toll from #Coronavirus rises to 22,157 https://t.co/LVbEq6lWiX #ArabianNews #GulfDaily",https://twitter.com/GulfDailyCom/status/1253345910467297283,Sat Nov 02 18:26:51 +0000 2019,GulfDailyCom,false,"Daily updates about worldy happenings, tailored for residents of this region - straight to your inbox!",764,806,563,5,,GulfDaily,GulfDailyCom,4327,,https://www.gulfdaily.com,false
,Fri Apr 24 02:24:42 +0000 2020,,,,0,1253510145318903811,,,,en,,,36,1253387932863475712,zelilez,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @zelilez: R.I.P to my dad. 🙏,https://twitter.com/JewelMelissa/status/1253510145318903811,Wed Sep 07 18:43:35 +0000 2011,JewelMelissa,false,Follow my business page @theformerfatgrl on IG/FB/Twitter. https://t.co/BOc4NFMtCK or link in bio. I’m cooler on IG though. 😎,5500,953,1537,8,,HonorRebel 🇧🇸,JewelMelissa,36822,,https://linktr.ee/theformerfatgrl,false
,Thu Apr 23 22:26:31 +0000 2020,,,,0,1253450206999457794,,,,en,,,796,1253316335318204417,Mimirocah1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Mimirocah1: Over &amp; over he has pushed out &amp; retaliated against career professionals &amp; experts who speak truth but contradict him. On Ru…,https://twitter.com/pringle13_mike/status/1253450206999457794,Wed Aug 16 23:34:44 +0000 2017,pringle13_mike,true,,4936,56,1136,0,,Mike Pringle,pringle13_mike,80833,,,false
,Thu Apr 23 10:01:18 +0000 2020,,,,0,1253262664614232064,,,,en,,,110,1252987409085710337,rottenbanana101,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @rottenbanana101: We need to force our representatives to incentivize U.S. corporations to bring back manufacturing from China ASAP . Th…,https://twitter.com/N8iveTucsonan/status/1253262664614232064,Thu Feb 28 03:40:11 +0000 2013,N8iveTucsonan,false,https://t.co/Rq7WCFxGY6 ⇦ Help a Veteran in need at CoV🇺🇸 𝚴𝚶 DMs #2A #Coɴsɛʀvατɪvɛ #Ꮇɪʟɪταʀʏ #Ƥoʟɪcɛ #ƑɪʀsτᎡɛsᴘoɴᴅɛʀs #ƤɪτʙυʟʟᎷoϻ #2A #ᎷAGA,89569,10737,10988,1,Texas,𝘼𝙢𝞮𝙧𝙞𝙘𝙖𝞰🇺🇸𝙈𝙤𝙢𝙢𝙖🇺🇸𝘽𝞮𝙖𝙧,N8iveTucsonan,61826,,https://www.codeofvets.com/index.php,false
,Thu Apr 23 22:25:12 +0000 2020,,,,0,1253449871563972610,,,,en,,,156,1253268664272502784,sandeep_bamzai,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @sandeep_bamzai: India unequivocally says old style Indic and PM’s personal intervention with lockdown appears to have saved us - IANS C…,https://twitter.com/rahenga/status/1253449871563972610,Sun Aug 04 09:00:13 +0000 2019,rahenga,false,,12106,32,35,0,Pakistan occupied Kashmir,Rahenga,rahenga,2663,,,false
,Thu Apr 23 22:19:40 +0000 2020,,,https://twitter.com/Nationwideradio/status/1253446590909513730,3,1253448481999593474,,,,en,,false,2,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",lol wow https://t.co/VYNXWYguY5,https://twitter.com/RemzTheAwesome/status/1253448481999593474,Fri May 21 00:21:16 +0000 2010,RemzTheAwesome,false,"Pleasant, but cheeky Certified Web Developer, and Computer Science student of UoL.

Always Be Building 💻",62343,1960,1512,25,Saint Lucia,Remz,RemzTheAwesome,209067,,https://www.remyfrancis.com,false
