coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Mar 24 15:12:35 +0000 2020,,,,0,1242469364529541120,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",An asthma attack in this corona madness 😭,https://twitter.com/kellenah/status/1242469364529541120,Thu Aug 18 08:44:44 +0000 2011,kellenah,false,"In a world full of trends, I want to remain a classic. Lover of Winegums and Avocados.",8358,1869,1448,1,Minding my business,Becoming Her,kellenah,6063,,,false
,Wed Mar 25 03:07:35 +0000 2020,,,,0,1242649300733022213,,,,en,,,11,1242510791011717122,rileysilva2001,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @rileysilva2001: Roses are red 
Corona virus is scary 
Stay 6 feet away 
Put it in reverse Terry",https://twitter.com/MorganTerrazas/status/1242649300733022213,Fri May 10 21:54:45 +0000 2019,MorganTerrazas,false,be nice to people :),18532,177,223,0,,Morg :),MorganTerrazas,2999,,,false
,Tue Mar 24 18:01:00 +0000 2020,,,,0,1242511749175222276,JoeNBC,1242455948670767000,21619519,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@JoeNBC @WSJ Good, but really late. How in the world is ICELAND doing more corona testing than we are?!? That says a lot about where we are!",https://twitter.com/zyonsinger/status/1242511749175222276,Thu Oct 11 01:47:24 +0000 2012,zyonsinger,false,"Believer, Socially conscious, Warrior for Good",3683,55,486,0,,We Can Do Better,zyonsinger,1293,,,false
,Tue Mar 24 20:43:37 +0000 2020,corona lockdown coronavírus,https://twitter.com/NikkiTemkin/status/1242552671732727820/photo/1,,0,1242552671732727820,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",During this difficult I am offering my support via a complimentary online wellness session. DM me for details about joining #corona #lockdown #coronavírus https://t.co/ht7oQJ9ZPz,https://twitter.com/NikkiTemkin/status/1242552671732727820,Tue May 03 15:26:25 +0000 2011,NikkiTemkin,false,"South African. Editor, scribe, journo, author Chic Jozi. Feminista. Accredited  functional health  coach. Food, fashion, travel and book fanatic.",366,1294,390,36,Jozi,Nikki Temkin,NikkiTemkin,13399,,,false
,Wed Mar 25 05:56:12 +0000 2020,sidhearts,,,0,1242691733588082689,,,,en,,,2,1242653681910050824,commonindian9,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @commonindian9: #sidhearts 
I am sending this video to all my WhatsApp group friend, saying, take a break from corona and watch a soulfu…",https://twitter.com/MadhaviBharadw3/status/1242691733588082689,Sat Jan 18 06:02:37 +0000 2020,MadhaviBharadw3,false,Sidheart of @sidharth_shukla sir,11569,146,50,0,,Sidheart,MadhaviBharadw3,31706,,,false
,Tue Mar 24 10:24:50 +0000 2020,,,,0,1242396949824901123,,,,en,,,2495,1239756900255903744,elonmusk,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @elonmusk: That said, danger of panic still far exceeds danger of corona imo. If we over-allocate medical resources to corona, it will c…",https://twitter.com/StphaneLeullie1/status/1242396949824901123,Sat Feb 29 17:05:49 +0000 2020,StphaneLeullie1,false,"« Nous méritons tous nos rencontres, elles sont attachées à notre destinée et ont une signification qu’il nous appartient de déchiffrer » ~ Fr. Mauriac",669,28,97,0,,Stéphane L #ParisCentre,StphaneLeullie1,976,,,false
,Wed Mar 25 02:30:06 +0000 2020,,https://twitter.com/bretmanrock/status/1242627121861672960/photo/1,,0,1242639866971582465,,,,en,,true,20250,1242627121861672960,bretmanrock,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @bretmanrock: Ms.Corona made me do it 🤍🗻 https://t.co/PMfVcXwdoi,https://twitter.com/ssamanthanlg/status/1242639866971582465,Fri Dec 14 08:47:46 +0000 2018,ssamanthanlg,false,,20131,80,203,0,ig: ssamanthanlg,s,ssamanthanlg,6551,,,false
,Tue Mar 24 16:15:29 +0000 2020,,,,0,1242485195556524040,,,,en,,,11076,1242045328154595329,abegail_valerio,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @abegail_valerio: Corona virus is not a joke, God please! Protect my family, friends and humanity.",https://twitter.com/celynsiksi/status/1242485195556524040,Tue Jul 24 12:27:26 +0000 2018,celynsiksi,false,👾,12889,729,596,0,,jo:),celynsiksi,21478,,https://www.facebook.com/Dyosalynnnn,false
,Tue Mar 24 18:45:48 +0000 2020,,,,0,1242523023292264448,,,,en,,,53,1242380137200402432,fadnavis_amruta,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @fadnavis_amruta: Now last date for filing Income Tax Returns extended to 30th June’2020!GST returns may be filed upto 30th June’2020!Sp…,https://twitter.com/drsharmask/status/1242523023292264448,Wed Mar 31 20:41:16 +0000 2010,drsharmask,false,AML INFOTECH,46340,231,1002,0,"New Delhi, India",drsharmask,drsharmask,38232,,,false
,Tue Mar 24 11:44:48 +0000 2020,,https://twitter.com/segzydoo4u/status/1242417076381286400/photo/1,https://oozenaija.com/download-music-obesere-corona-becareful,0,1242417076381286400,,,,en,,false,0,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",DOWNLOAD MUSIC: Obesere – “Corona Becareful” https://t.co/s2jEcELvZd https://t.co/A90vE4tZ66,https://twitter.com/segzydoo4u/status/1242417076381286400,Mon Aug 08 12:39:45 +0000 2011,segzydoo4u,false,"An entrepreneur , music promoter CEO of OOZE Entertainment. PR, Content Editor https://t.co/AXUtDN4qiG,  Manager to @drimsizzy @falajamusic @iamdjnorris",432,526,1371,7,Lagos Nigeria,Sir Segz,segzydoo4u,11691,,http://www.oozenaija.com,false
